50F5DA;Amazon Technologies Inc.;
6854FD;Amazon Technologies Inc.;
40B4CD;Amazon Technologies Inc.;
2C86D2;Cisco Systems;
802689;D-Link International;
409F38;AzureWave Technology Inc.;
C4D197;Ventia Utility Services;
58821D;H. Schomäcker GmbH;
CCBE59;Calix Inc.;
EC4F82;Calix Inc.;
000631;Calix Inc.;
B8D7AF;Murata Manufacturing Co.;
3096FB;Samsung Electronics Co.;
F0EE10;Samsung Electronics Co.;
A8A198;TCT mobile ltd;
107D1A;Dell Inc.;
0827CE;NAGANO KEIKI CO.;
00D318;SPG Controls;
2C3124;Cisco Systems;
F40343;Hewlett Packard Enterprise;
00143F;Hotway Technology Corporation;
F8BE0D;A2UICT Co.;
08EA40;SHENZHEN BILIAN ELECTRONIC CO.，LTD;
00E0DA;Alcatel-Lucent Enterprise;
5CC6E9;Edifier International;
E8C1D7;Philips;
1868CB;Hangzhou Hikvision Digital Technology Co.;
F80BCB;Cisco Systems;
9CC8AE;Becton;
B0359F;Intel Corporate;
24EA40;Helmholz GmbH & Co. KG;
84A9C4;HUAWEI TECHNOLOGIES CO.;
A0F479;HUAWEI TECHNOLOGIES CO.;
100501;PEGATRON CORPORATION;
046E02;OpenRTLS Group;
000FF4;Guntermann & Drunck GmbH;
70DB98;Cisco Systems;
A43D78;GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.;
EC01EE;GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.;
B83765;GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.;
4448C1;Hewlett Packard Enterprise;
FC539E;Shanghai Wind Technologies Co.;
9CAF6F;ITEL MOBILE LIMITED;
9C061B;Hangzhou H3C Technologies Co.;
907065;Texas Instruments;
B8FFB3;MitraStar Technology Corp.;
A08E78;Sagemcom Broadband SAS;
E0D55E;GIGA-BYTE TECHNOLOGY CO.;
C4576E;Samsung Electronics Co.;
90F1AA;Samsung Electronics Co.;
78BDBC;Samsung Electronics Co.;
20F452;Shanghai IUV Software Development Co. Ltd;
D47AE2;Samsung Electronics Co.;
88D274;zte corporation;
986DC8;TOSHIBA MITSUBISHI-ELECTRIC INDUSTRIAL SYSTEMS CORPORATION;
982DBA;Fibergate Inc.;
0040AA;Valmet Automation;
0080C2;IEEE 802.1 Working Group;
68A40E;BSH Hausgeräte GmbH;
847933;profichip GmbH;
A0C9A0;Murata Manufacturing Co.;
447F77;Connected Home;
009AD2;Cisco Systems;
84C0EF;Samsung Electronics Co.;
7C1C68;Samsung Electronics Co.;
745427;SHENZHEN FAST TECHNOLOGIES CO.;
7C8BCA;TP-LINK TECHNOLOGIES CO.;
88B111;Intel Corporate;
54D751;Proximus;
D8F1F0;Pepxim International Limited;
0019F0;UNIONMAN TECHNOLOGY CO.;
506E92;Innocent Technology Co.;
CC4B73;AMPAK Technology;
900A1A;Taicang T&W Electronics;
CC03D9;Cisco Meraki;
506184;Avaya Inc;
F81547;Avaya Inc;
A01290;Avaya Inc;
B4A95A;Avaya Inc;
BCADAB;Avaya Inc;
3C3A73;Avaya Inc;
6CB227;Sony Video & Sound Products Inc.;
60271C;VIDEOR E. Hartig GmbH;
C46699;vivo Mobile Communication Co.;
FC1A11;vivo Mobile Communication Co.;
E0DDC0;vivo Mobile Communication Co.;
886AB1;vivo Mobile Communication Co.;
18E29F;vivo Mobile Communication Co.;
0823B2;vivo Mobile Communication Co.;
6091F3;vivo Mobile Communication Co.;
BC2F3D;vivo Mobile Communication Co.;
C4ABB2;vivo Mobile Communication Co.;
F81D90;Solidwintech;
C8DB26;Logitech;
4473D6;Logitech;
70F35A;Cisco Systems;
EC42B4;ADC Corporation;
10CDB6;Essential Products;
08306B;Palo Alto Networks;
94147A;vivo Mobile Communication Co.;
74D0DC;Ericsson AB;
88A3CC;Amatis Controls;
8C9F3B;Qingdao Hisense Communications Co.;
404229;Layer3TV;
B090D4;Shenzhen Hoin Internet Technology Co.;
348F27;Ruckus Wireless;
001D2E;Ruckus Wireless;
689234;Ruckus Wireless;
044FAA;Ruckus Wireless;
0025C4;Ruckus Wireless;
38FF36;Ruckus Wireless;
2C5D93;Ruckus Wireless;
543D37;Ruckus Wireless;
C4108A;Ruckus Wireless;
D463C6;Motorola Mobility LLC;
00A050;CYPRESS SEMICONDUCTOR;
A44CC8;Dell Inc.;
54666C;Shenzhen YOUHUA Technology Co.;
103034;Cara Systems;
0840F3;Tenda Technology Co.;
FC8B97;SHENZHEN GONGJIN ELECTRONICS CO.;
2CAB25;SHENZHEN GONGJIN ELECTRONICS CO.;
AC6E1A;SHENZHEN GONGJIN ELECTRONICS CO.;
24A534;SynTrust Tech International Ltd. ;
F844E3;Taicang T&W Electronics;
001F92;Avigilon Corporation;
887A31;Velankani Electronics Pvt. Ltd.;
8C0F6F;PEGATRON CORPORATION;
283545;SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.;
0C8FFF;HUAWEI TECHNOLOGIES CO.;
54B121;HUAWEI TECHNOLOGIES CO.;
786256;HUAWEI TECHNOLOGIES CO.;
A80C63;HUAWEI TECHNOLOGIES CO.;
5CC307;HUAWEI TECHNOLOGIES CO.;
08A8A1;Cyclotronics Power Concepts;
A82BB5;Edgecore Networks Corporation;
0015FF;Novatel Wireless Solutions;
788C4D;Indyme Solutions;
0CB937;Ubee Interactive Co.;
2880A2;Novatel Wireless Solutions;
0CB459;Marketech International Corp.;
84AA9C;MitraStar Technology Corp.;
0C4B54;TP-LINK TECHNOLOGIES CO.;
C47154;TP-LINK TECHNOLOGIES CO.;
44EA4B;Actlas Inc.;
5C6984;NUVICO;
F86EEE;HUAWEI TECHNOLOGIES CO.;
E4FB5D;HUAWEI TECHNOLOGIES CO.;
5C546D;HUAWEI TECHNOLOGIES CO.;
0027F8;Brocade Communications Systems;
50EB1A;Brocade Communications Systems;
CC4E24;Brocade Communications Systems;
889471;Brocade Communications Systems;
D81FCC;Brocade Communications Systems;
0060DF;Brocade Communications Systems;
000533;Brocade Communications Systems;
00223F;NETGEAR;
001B2F;NETGEAR;
E091F5;NETGEAR;
744401;NETGEAR;
E0469A;NETGEAR;
08BD43;NETGEAR;
C40415;NETGEAR;
9CD36D;NETGEAR;
20E52A;NETGEAR;
4494FC;NETGEAR;
008EF2;NETGEAR;
B0B98A;NETGEAR;
104E89;Garmin International;
30053F;JTI Co.;
0050B5;FICHET SECURITE ELECTRONIQUE;
04209A;Panasonic Corporation AVC Networks Company;
8CC121;Panasonic Corporation AVC Networks Company;
20C6EB;Panasonic Corporation AVC Networks Company;
40CE24;Cisco Systems;
B0350B;MOBIWIRE MOBILES (NINGBO) CO.;
28A6AC;seca gmbh & co. kg;
00054F;Garmin International;
E048D3;MOBIWIRE MOBILES (NINGBO) CO.;
24C42F;Philips Lifeline;
B8EE0E;Sagemcom Broadband SAS;
386EA2;vivo Mobile Communication Co.;
58B42D;YSTen Technology Co.;
181456;Nokia Corporation;
E4EC10;Nokia Corporation;
9C4A7B;Nokia Corporation;
D86162;Wistron Neweb Corporation;
48EC5B;Nokia;
0009BC;Utility;
0016ED;Utility;
80615F;Beijing Sinead Technology Co.;
74F661;Schneider Electric Fire & Security Oy;
885DFB;zte corporation;
245FDF;KYOCERA CORPORATION ;
8CD2E9;YOKOTE SEIKO CO.;
186024;Hewlett Packard;
706BB9;Cisco Systems;
74F91A;Onface;
6CC147;Xiamen Hanin Electronic Technology Co.;
8CFEB4;VSOONTECH ELECTRONICS CO.;
CCF957;u-blox AG;
0076B1;Somfy-Protect By Myfox SAS;
74373B;UNINET Co.;
7C6456;Samsung Electronics Co.;
D0666D;Shenzhen Bus-Lan Technology Co.;
448F17;Samsung Electronics Co.;
B8D94D;Sagemcom Broadband SAS;
10FCB6;mirusystems CO.;
04D6AA;SAMSUNG ELECTRO-MECHANICS(THAILAND);
08661F;Palo Alto Networks;
0C5842;DME Micro;
80C755;Panasonic Appliances Company;
A0648F;ASKEY COMPUTER CORP;
04848A;7INOVA TECHNOLOGY LIMITED;
E81DA8;Ruckus Wireless;
3CC079;Shenzhen One-Nine Intelligent Electronic Science and Technology Co.;
746EE4;Asia Vital Components Co.;
F44C70;Skyworth Digital Technology(Shenzhen) Co.;
D490E0;Topcon Electronics GmbH & Co. KG;
9C9C40;SICHUAN TIANYI COMHEART TELECOMCO.;
98C5DB;Ericsson AB;
043A0D;SM Optics S.r.l.;
9CE063;Samsung Electronics Co.;
EC7D11;vivo Mobile Communication Co.;
18CC88;Hitachi Johnson Controls Air ;
E8361D;Sense Labs;
ECF8EB;SICHUAN TIANYI COMHEART TELECOMCO.;
F06E0B;Microsoft Corporation;
480EEC;TP-LINK TECHNOLOGIES CO.;
5800BB;Juniper Networks;
801F02;Edimax Technology Co. Ltd.;
000E2E;Edimax Technology Co. Ltd.;
701F53;Cisco Systems;
1046B4;FormericaOE;
50C9A0;SKIPPER AS;
0CB2B7;Texas Instruments;
7C010A;Texas Instruments;
001530;Dell EMC;
08001B;Dell EMC;
8CCF09;Dell EMC;
10A4BE;SHENZHEN BILIAN ELECTRONIC CO.，LTD;
5C865C;Samsung Electronics Co.;
142882;MIDICOM ELECTRONICS CO.LTD;
80C5F2;AzureWave Technology Inc.;
80B708;Blue Danube Systems;
805E0C;YEALINK(XIAMEN) NETWORK TECHNOLOGY CO.;
3C2C99;Edgecore Networks Corporation;
48555F;Fiberhome Telecommunication Technologies Co.;
F8C96C;Fiberhome Telecommunication Technologies Co.;
34BF90;Fiberhome Telecommunication Technologies Co.;
D467E7;Fiberhome Telecommunication Technologies Co.;
04C1B9;Fiberhome Telecommunication Technologies Co.;
5CE3B6;Fiberhome Telecommunication Technologies Co.;
9C88AD;Fiberhome Telecommunication Technologies Co.;
809FAB;Fiberhome Telecommunication Technologies Co.;
D00492;Fiberhome Telecommunication Technologies Co.;
48F97C;Fiberhome Telecommunication Technologies Co.;
D4AD2D;Fiberhome Telecommunication Technologies Co.;
105887;Fiberhome Telecommunication Technologies Co.;
68572D;HANGZHOU AIXIANGJI TECHNOLOGY CO.;
8C5973;Zyxel Communications Corporation;
94FE9D;SHENZHEN GONGJIN ELECTRONICS CO.;
247E12;Cisco Systems;
04ECBB;Fiberhome Telecommunication Technologies Co.;
0C5415;Intel Corporate;
84DB9E;Aifloo AB;
B0B3AD;HUMAX Co.;
1831BF;ASUSTek COMPUTER INC.;
7C2586;Juniper Networks;
001BD9;Edgewater Wireless Systems Inc;
543E64;Fiberhome Telecommunication Technologies Co.;
D4F786;Fiberhome Telecommunication Technologies Co.;
EC7FC6;ECCEL CORPORATION SAS;
A433D7;MitraStar Technology Corp.;
B0ACD2;zte corporation;
7C2A31;Intel Corporate;
202D23;Collinear Networks Inc.;
4818FA;Nocsys;
780F77;HangZhou Gubei Electronics Technology Co.;
0C08B4;HUMAX Co.;
00BF77;Cisco Systems;
003DE8;LG Electronics (Mobile Communications);
002FD9;Fiberhome Telecommunication Technologies Co.;
A067BE;Sicon srl;
089734;Hewlett Packard Enterprise;
F8E44E;MCOT INC.;
903D68;G-Printec;
F00E1D;Megafone Limited;
CCC079;Murata Manufacturing Co.;
348B75;LAVA INTERNATIONAL(H.K) LIMITED;
E89AFF;Fujian LANDI Commercial Equipment Co.;
0007A8;Haier Group Technologies Ltd;
E4434B;Dell Inc.;
688975;nuoxc;
441E98;Ruckus Wireless;
08E689;Apple;
74E7C6;ARRIS Group;
74F612;ARRIS Group;
DC4517;ARRIS Group;
F80BBE;ARRIS Group;
6CC1D2;ARRIS Group;
145BD1;ARRIS Group;
B077AC;ARRIS Group;
B81619;ARRIS Group;
A41588;ARRIS Group;
38700C;ARRIS Group;
FC51A4;ARRIS Group;
287AEE;ARRIS Group;
CC65AD;ARRIS Group;
789684;ARRIS Group;
90C792;ARRIS Group;
E8ED05;ARRIS Group;
000CE5;ARRIS Group;
000E5C;ARRIS Group;
0015A8;ARRIS Group;
001700;ARRIS Group;
0019A6;ARRIS Group;
002180;ARRIS Group;
0026BA;ARRIS Group;
002641;ARRIS Group;
002374;ARRIS Group;
0025F2;ARRIS Group;
0015CF;ARRIS Group;
386BBB;ARRIS Group;
00E06F;ARRIS Group;
0004BD;ARRIS Group;
5C571A;ARRIS Group;
001DD0;ARRIS Group;
001DD5;ARRIS Group;
001DCF;ARRIS Group;
0014E8;ARRIS Group;
0019C0;ARRIS Group;
986B3D;ARRIS Group;
901ACA;ARRIS Group;
641269;ARRIS Group;
001CC3;ARRIS Group;
14D4FE;ARRIS Group;
70B14E;ARRIS Group;
D82522;ARRIS Group;
707630;ARRIS Group;
F40E83;ARRIS Group;
608CE6;ARRIS Group;
E8825B;ARRIS Group;
6402CB;ARRIS Group;
F0FCC8;ARRIS Group;
FC6947;Texas Instruments;
E07DEA;Texas Instruments;
F0B5D1;Texas Instruments;
FCE66A;Industrial Software Co;
7836CC;GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.;
3078C2;Innowireless / QUCELL Networks;
00233D;Laird Technologies;
D818D3;Juniper Networks;
6CAF15;Webasto SE;
94193A;Elvaco AB;
3868DD;INVENTEC CORPORATION;
3C6AA7;Intel Corporate;
FC6BF0;TOPWELL INTERNATIONAL HOLDINDS LIMITED;
1100AA;Private;
80029C;Gemtek Technology Co.;
D4FC13;Fiberhome Telecommunication Technologies Co.;
1C965A;WEIFANG GOERTEK ELECTRONICS CO.;
000E8F;Sercomm Corporation.;
944A0C;Sercomm Corporation.;
D0C5D8;LATECOERE;
DCE0EB;Nanjing Aozheng Information Technology Co.Ltd;
C8E7D8;MERCURY COMMUNICATION TECHNOLOGIES CO.;
505967;Intent Solutions Inc;
683A1E;Cisco Meraki;
A83E0E;HMD Global Oy;
10C172;HUAWEI TECHNOLOGIES CO.;
80B575;HUAWEI TECHNOLOGIES CO.;
000D82;PHSNET SRLS;
08D46A;LG Electronics (Mobile Communications);
000149;TDT AG;
A4EA8E;Extreme Networks;
B88584;Dell Inc.;
A42618;Integrated Device Technology (Malaysia) Sdn. Bhd.;
880907;MKT Systemtechnik GmbH & Co. KG;
E063E5;Sony Mobile Communications Inc;
B4527D;Sony Mobile Communications Inc;
68764F;Sony Mobile Communications Inc;
584822;Sony Mobile Communications Inc;
54C57A;Sunnovo International Limited;
34E911;vivo Mobile Communication Co.;
348584;Aerohive Networks Inc.;
F8B7E2;Cisco Systems;
A4B52E;Integrated Device Technology (Malaysia) Sdn. Bhd.;
C4CD82;Hangzhou Lowan Information Technology Co.;
E0AADB;Nanjing PANENG Technology Development Co.;
E820E2;HUMAX Co.;
64CBA3;Pointmobile;
ECF451;Arcadyan Corporation;
485929;LG Electronics (Mobile Communications);
34FCEF;LG Electronics (Mobile Communications);
002483;LG Electronics (Mobile Communications);
001C62;LG Electronics (Mobile Communications);
583F54;LG Electronics (Mobile Communications);
40B0FA;LG Electronics (Mobile Communications);
A8922C;LG Electronics (Mobile Communications);
98D6F7;LG Electronics (Mobile Communications);
505527;LG Electronics (Mobile Communications);
0034DA;LG Electronics (Mobile Communications);
A09169;LG Electronics (Mobile Communications);
C863F1;Sony Interactive Entertainment Inc.;
88365F;LG Electronics (Mobile Communications);
3817C3;Hewlett Packard Enterprise;
9C8C6E;Samsung Electronics Co.;
588A5A;Dell Inc.;
84509A;Easy Soft TV Co.;
10AE60;Private;
DC2834;HAKKO Corporation;
D8E004;Vodia Networks Inc;
C86C87;Zyxel Communications Corporation;
5067F0;Zyxel Communications Corporation;
E4186B;Zyxel Communications Corporation;
E4F042;Google;
B0982B;Sagemcom Broadband SAS;
000C50;Seagate Technology;
0011C6;Seagate Technology;
C4C563;TECNO MOBILE LIMITED;
BC91B5;Infinix mobility limited;
88D039;TCL Technoly Electronics(Huizhou).;
240D6C;SMND;
FC0A81;Extreme Networks;
20E09C;Nokia;
34BA38;PAL MOHAN ELECTRONICS PVT LTD;
9829A6;COMPAL INFORMATION (KUNSHAN) CO.;
04197F;Grasphere Japan;
BCFFEB;Motorola Mobility LLC;
CC40D0;NETGEAR;
B42D56;Extreme Networks;
005D73;Cisco Systems;
9C32CE;CANON INC.;
7440BB;Hon Hai Precision Ind. Co.;
685ACF;Samsung Electronics Co.;
00BE9E;Fiberhome Telecommunication Technologies Co.;
044F17;HUMAX Co.;
B4F7A1;LG Electronics (Mobile Communications);
C0A8F0;Adamson Systems Engineering;
38C9A9;SMART High Reliability Solutions;
283B82;D-Link International;
C400AD;Advantech Technology (CHINA) Co.;
345A06;SHARP Corporation;
0C8BD3;ITEL MOBILE LIMITED;
04AC44;Holtek Semiconductor Inc.;
F4DCA5;DAWON DNS;
501CB0;Cisco Systems;
785860;HUAWEI TECHNOLOGIES CO.;
F89066;Nain Inc.;
B4FBF9;HUAWEI TECHNOLOGIES CO.;
B42EF8;Eline Technology co.Ltd;
D8445C;DEV Tecnologia Ind Com Man Eq LTDA;
785DC8;LG Electronics;
7C3953;zte corporation;
48C796;Samsung Electronics Co.;
804E70;Samsung Electronics Co.;
4CEFC0;Amazon Technologies Inc.;
D46D6D;Intel Corporate;
CC8E71;Cisco Systems;
CC3B58;Curiouser Products Inc;
38F554;HISENSE ELECTRIC CO.;
1894C6;ShenZhen Chenyee Technology Co.;
14A72B;currentoptronics Pvt.Ltd;
AC075F;HUAWEI TECHNOLOGIES CO.;
8817A3;Integrated Device Technology (Malaysia) Sdn. Bhd.;
007147;Amazon Technologies Inc.;
788C54;Ping Communication;
D466A8;Riedo Networks Ltd;
30B7D4;Hitron Technologies. Inc;
3880DF;Motorola Mobility LLC;
7CB232;Hui Zhou Gaoshengda Technology Co.;
2CD974;Hui Zhou Gaoshengda Technology Co.;
58B3FC;SHENZHEN RF-LINK TECHNOLOGY CO.;
BCAB7C;TRnP KOREA Co Ltd;
00A021;General Dynamics Mission Systems;
949990;VTC Telecommunications;
0C8063;TP-LINK TECHNOLOGIES CO.;
3C15FB;HUAWEI TECHNOLOGIES CO.;
B0416F;Shenzhen Maxtang Computer Co.;
F898EF;HUAWEI TECHNOLOGIES CO.;
1409DC;HUAWEI TECHNOLOGIES CO.;
DC415F;Apple;
30636B;Apple;
F45C89;Apple;
68DBCA;Apple;
044BED;Apple;
6C8DC1;Apple;
38CADA;Apple;
A4D18C;Apple;
186590;Apple;
64B0A6;Apple;
84FCAC;Apple;
6C19C0;Apple;
20AB37;Apple;
203CAE;Apple;
748D08;Apple;
A03BE3;Apple;
7C6D62;Apple;
40D32D;Apple;
D83062;Apple;
C42C03;Apple;
7CC537;Apple;
70CD60;Apple;
C0D012;Apple;
D4DCCD;Apple;
484BAA;Apple;
F80377;Apple;
14BD61;Apple;
CC25EF;Apple;
B8782E;Apple;
000502;Apple;
0010FA;Apple;
000393;Apple;
0016CB;Apple;
409C28;Apple;
78886D;Apple;
A85C2C;Apple;
00DB70;Apple;
0C5101;Apple;
086D41;Apple;
04D3CF;Apple;
BCEC5D;Apple;
80B03D;Apple;
C83C85;Apple;
A04EA7;Apple;
0017F2;Apple;
001B63;Apple;
001EC2;Apple;
002608;Apple;
A4C361;Apple;
AC7F3E;Apple;
280B5C;Apple;
90B931;Apple;
24A2E1;Apple;
80EA96;Apple;
600308;Apple;
04F13E;Apple;
54724F;Apple;
48746E;Apple;
D4F46F;Apple;
787E61;Apple;
60F81D;Apple;
4C7C5F;Apple;
48E9F1;Apple;
FCE998;Apple;
F099BF;Apple;
68644B;Apple;
789F70;Apple;
24AB81;Apple;
581FAA;Apple;
A46706;Apple;
3C0754;Apple;
E4CE8F;Apple;
E8040B;Apple;
B8C75D;Apple;
403CFC;Apple;
98FE94;Apple;
D8004D;Apple;
98B8E3;Apple;
80929F;Apple;
885395;Apple;
9C04EB;Apple;
A8968A;Apple;
DC3714;Apple;
40331A;Apple;
94F6A3;Apple;
D81D72;Apple;
70ECE4;Apple;
38C986;Apple;
FCFC48;Apple;
4C8D79;Apple;
207D74;Apple;
F4F15A;Apple;
042665;Apple;
2CB43A;Apple;
689C70;Apple;
087045;Apple;
3CAB8E;Apple;
7C6DF8;Apple;
48D705;Apple;
78FD94;Apple;
C88550;Apple;
286AB8;Apple;
7CC3A1;Apple;
3CD0F8;Apple;
98D6BB;Apple;
4CB199;Apple;
64E682;Apple;
804971;Apple;
CC20E8;Apple;
209BCD;Apple;
F0B0E7;Apple;
A056F3;Apple;
549963;Apple;
28FF3C;Apple;
1094BB;Apple;
F01898;Apple;
48A91C;Apple;
2C7E81;ARRIS Group;
5CE30E;ARRIS Group;
7823AE;ARRIS Group;
406231;GIFA;
048AE1;FLEXTRONICS MANUFACTURING(ZHUHAI)CO.;
0C2138;Hengstler GmbH;
CCC2E0;Raisecom Technology CO.;
4CC00A;vivo Mobile Communication Co.;
A075EA;BoxLock;
7001B5;Cisco Systems;
A0B045;Halong Mining;
ECAF97;GIT;
6C21A2;AMPAK Technology;
203956;HMD Global Oy;
78725D;Cisco Systems;
00FCBA;Cisco Systems;
189C27;ARRIS Group;
A468BC;Private;
CC51B4;Integrated Device Technology (Malaysia) Sdn. Bhd.;
7C41A2;Nokia;
64A2F9;OnePlus Technology (Shenzhen) Co.;
EC8C9A;HUAWEI TECHNOLOGIES CO.;
B48655;HUAWEI TECHNOLOGIES CO.;
1866C7;Shenzhen Libre Technology Co.;
5CB3F6;Human;
709FA9;TECNO MOBILE LIMITED;
78D294;NETGEAR;
D02516;MERCURY COMMUNICATION TECHNOLOGIES CO.;
58B10F;Samsung Electronics Co.;
BC22FB;RF Industries;
700F6A;Cisco Systems;
2C4759;Beijing MEGA preponderance Science & Technology Co. Ltd;
D4CA6D;Routerboard.com;
000C42;Routerboard.com;
DCE305;   ZAO NPK Rotek;
C42795;Technicolor CH USA Inc.;
CC3540;Technicolor CH USA Inc.;
80C6AB;Technicolor CH USA Inc.;
705A9E;Technicolor CH USA Inc.;
3817E1;Technicolor CH USA Inc.;
0012A5;Dolphin Interconnect Solutions AS;
58238C;Technicolor CH USA Inc.;
10C25A;Technicolor CH USA Inc.;
24D3F2;zte corporation;
007E95;Cisco Systems;
6C0E0D;Sony Mobile Communications Inc;
0024EF;Sony Mobile Communications Inc;
002298;Sony Mobile Communications Inc;
001FE4;Sony Mobile Communications Inc;
001D28;Sony Mobile Communications Inc;
0016B8;Sony Mobile Communications Inc;
001A75;Sony Mobile Communications Inc;
000E07;Sony Mobile Communications Inc;
387862;Sony Mobile Communications Inc;
0017B6;Aquantia Corporation;
008017;PFU LIMITED;
504C7E;THE 41ST INSTITUTE OF CETC;
40EEDD;HUAWEI TECHNOLOGIES CO.;
848A8D;Cisco Systems;
2866E3;AzureWave Technology Inc.;
000C8A;Bose Corporation;
001133;Siemens AG Austria;
20A8B9;SIEMENS AG;
34800D;Cavium Inc;
7C9A54;Technicolor CH USA Inc.;
889765;exands;
0051ED;LG Innotek;
BC30D9;Arcadyan Corporation;
F0BCC9;PFU LIMITED;
70B7AA;vivo Mobile Communication Co.;
1C3947;COMPAL INFORMATION (KUNSHAN) CO.;
3466EA;VERTU INTERNATIONAL CORPORATION LIMITED;
28385C;FLEXTRONICS;
741F79;YOUNGKOOK ELECTRONICS CO.;
0000C3;Harris Corporation;
B46921;Intel Corporate;
DC8B28;Intel Corporate;
AC9232;HUAWEI TECHNOLOGIES CO.;
3412F9;HUAWEI TECHNOLOGIES CO.;
4CD1A1;HUAWEI TECHNOLOGIES CO.;
002067;Private;
700B01;Sagemcom Broadband SAS;
304B07;Motorola Mobility LLC;
4017E2;INTAI TECHNOLOGY CORP.;
C048FB;Shenzhen JingHanDa Electronics Co.Ltd;
247E51;zte corporation;
6CF9D2;CHENGDU POVODO ELECTRONIC TECHNOLOGY CO.;
78524A;Ensenso GmbH;
94C3E4;Atlas Copco IAS GmbH;
00023F;Compal Electronics INC.;
E8B541;zte corporation;
E0AF4F;Deutsche Telekom AG;
8C41F4;IPmotion GmbH;
3C8994;BSkyB Ltd;
F4068D;devolo AG;
30D32D;devolo AG;
A85AF3;Shanghai Siflower Communication Technology Co.;
4C364E;Panasonic Corporation  Connected Solutions Company;
1496E5;Samsung Electronics Co.;
80CEB9;Samsung Electronics Co.;
CC2119;Samsung Electronics Co.;
48881E;EthoSwitch LLC;
0890BA;Danlaw Inc;
000F15;Icotera A/S;
4C1159;Vision Information & Communications;
B4A94F;MERCURY CORPORATION;
E42D7B;China Mobile IOT Company Limited;
C0D0FF;China Mobile IOT Company Limited;
A0950C;China Mobile IOT Company Limited;
B05365;China Mobile IOT Company Limited;
283E76;Common Networks;
48F027;Chengdu newifi Co.;
58D56E;D-Link International;
1C1BB5;Intel Corporate;
0057C1;LG Electronics (Mobile Communications);
A89A93;Sagemcom Broadband SAS;
C8544B;Zyxel Communications Corporation;
14C697;GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.;
DC16B2;HUAWEI TECHNOLOGIES CO.;
DC9088;HUAWEI TECHNOLOGIES CO.;
FC039F;Samsung Electronics Co.;
E4DB6D;Beijing Xiaomi Electronics Co.;
B0907E;Cisco Systems;
484AE9;Hewlett Packard Enterprise;
00D0D8;3COM;
000102;3COM;
000476;3COM;
00266C;INVENTEC CORPORATION;
00051A;3COM EUROPE LTD;
00040B;3COM EUROPE LTD;
00105A;3COM;
001849;nVent;
9C0CDF;GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.;
58B568;SECURITAS DIRECT ESPAÑA;
142233;Fiberhome Telecommunication Technologies Co.;
00AA6E;Cisco Systems;
1889A0;Wuhan Funshion Online Technologies Co.;
88F7BF;vivo Mobile Communication Co.;
000121;WatchGuard Technologies;
1862E4;Texas Instruments;
684749;Texas Instruments;
5CD20B;Yytek Co.;
7483C2;Ubiquiti Networks Inc.;
C0847D;AMPAK Technology;
F8D9B8;Open Mesh;
E81CBA;Fortinet;
007204;Samsung Electronics Co.;
286DCD;Beijing Winner Microelectronics Co.;
44A466;GROUPE LDLC;
80D065;CKS Corporation;
04EB40;Cisco Systems;
7C0CF6;Guangdong Huiwei High-tech Co.;
0002C9;Mellanox Technologies;
7CFE90;Mellanox Technologies;
283926;CyberTAN Technology Inc.;
F05494;Honeywell Connected Building;
30E3D6;Spotify USA Inc.;
F095F1;Carl Zeiss AG;
90E17B;Apple;
18810E;Apple;
608C4A;Apple;
A4D931;Apple;
18A7F1;Qingdao Haier Technology Co.;
20B001;Technicolor;
944F4C;Sound United LLC;
00D6FE;Cisco Systems;
BC9B68;Technicolor CH USA Inc.;
24BE18;DADOUTEK COMPANY LIMITED;
749D79;Sercomm Corporation.;
BC5EA1;PsiKick;
74BFC0;CANON INC.;
00F48D;Liteon Technology Corporation;
70192F;HUAWEI TECHNOLOGIES CO.;
70D313;HUAWEI TECHNOLOGIES CO.;
F063F9;HUAWEI TECHNOLOGIES CO.;
9C1D36;HUAWEI TECHNOLOGIES CO.;
00B771;Cisco Systems;
14EFCF;SCHREDER;
548028;Hewlett Packard Enterprise;
10B9F7;Niko-Servodan;
105BAD;Mega Well Limited;
705DCC;EFM Networks;
44070B;Google;
302952;Hillstone Networks Inc;
184B0D;Ruckus Wireless;
D41243;AMPAK Technology;
B87826;Nintendo Co.;
F8501C;Tianjin Geneuo Technology Co.;
90E710;New H3C Technologies Co.;
10C753;Qingdao Intelligent&Precise Electronics Co.;
6C3845;Fiberhome Telecommunication Technologies Co.;
BC9325;Ningbo Joyson Preh Car Connect Co.;
2C6104;SHENZHEN FENGLIAN TECHNOLOGY CO.;
90C54A;vivo Mobile Communication Co.;
E013B5;vivo Mobile Communication Co.;
54833A;Zyxel Communications Corporation;
98D3E7;Netafim L;
90C99B;Tesorion Nederland B.V.;
F4DD9E;GoPro;
D4D919;GoPro;
D8A98B;Texas Instruments;
B07E11;Texas Instruments;
6CC7EC;SAMSUNG ELECTRO-MECHANICS(THAILAND);
50A0A4;Nokia;
546AD8;Elster Water Metering;
647BCE;Samsung Electronics Co.;
D43260;GoPro;
