9CF8DB;shenzhen eyunmei technology co;
644214;Swisscom Energy Solutions AG;
8CCDA2;ACTP;
CC720F;Viscount Systems Inc.;
906717;Alphion India Private Limited;
24050F;MTN Electronic Co. Ltd;
40B6B1;SUNGSAM CO;
98FF6A;OTEC(Shanghai)Technology Co.;
AC6BAC;Jenny Science AG;
707C18;ADATA Technology Co.;
FC4B1C;INTERSENSOR S.R.L.;
1879A2;GMJ ELECTRIC LIMITED;
E0C86A;SHENZHEN TW-SCIE Co.;
80BAE6;Neets;
041A04;WaveIP;
50206B;Emerson Climate Technologies Transportation Solutions;
C8EE75;Pishion International Co. Ltd;
CC3429;TP-LINK TECHNOLOGIES CO.;
407496;aFUN TECHNOLOGY INC.;
18C8E7;Shenzhen Hualistone Technology Co.;
3CF748;Shenzhen Linsn Technology Development Co.;
9C039E;Beijing Winchannel Software Technology Co.;
48A2B7;Kodofon JSC;
443C9C;Pintsch Tiefenbach GmbH;
F81CE5;Telefonbau Behnke GmbH;
BC2D98;ThinGlobal LLC;
7C72E4;Unikey Technologies;
CC7498;Filmetrics Inc.;
7C6AB3;IBC TECHNOLOGIES INC.;
F0321A;Mita-Teknik A/S;
4CD7B6;Helmer Scientific;
746F3D;Contec GmbH;
483D32;Syscor Controls &amp; Automation;
9031CD;Onyx Healthcare Inc.;
404A18;Addrek Smart Solutions;
C4C0AE;MIDORI ELECTRONIC CO.;
90837A;General Electric Water & Process Technologies;
089758;Shenzhen Strong Rising Electronics Co.;
B424E7;Codetek Technology Co.;
44EE30;Budelmann Elektronik GmbH;
38DBBB;Sunbow Telecom Co.;
688AB5;EDP Servicos;
407A80;Nokia Corporation;
D481CA;iDevices;
B898F7;Gionee Communication Equipment Co;
C0F1C4;Pacidal Corporation Ltd.;
D858D7;CZ.NIC;
10B713;Private;
E8E770;Warp9 Tech Design;
78CA5E;ELNO;
98FFD0;Lenovo Mobile Communication Technology Ltd.;
50A054;Actineon;
48EE86;UTStarcom (China) Co.;
5056A8;Jolla Ltd;
D09D0A;LINKCOM;
54FB58;WISEWARE;
C0A0BB;D-Link International;
28A1EB;ETEK TECHNOLOGY (SHENZHEN) CO.;
4CCBF5;zte corporation;
F0F5AE;Adaptrum Inc.;
F42896;SPECTO PAINEIS ELETRONICOS LTDA;
9C2840;Discovery Technology;
F89FB8;YAZAKI Energy System Corporation;
F037A1;Huike Electronics (SHENZHEN) CO.;
